Price,Beds,Area,Latitude,Longitude
"$725,000",,,41.58430798469903,-109.24805207176486
"$452,900",4.0,,41.58501000000007,-109.21828999999997
"$396,900",5.0,"3,154",41.59423000253469,-109.27162999718992
"$389,900",4.0,"3,076",41.59147000945708,-109.26539998001671
"$254,000",3.0,"1,172",41.58343000411216,-109.20473997909797
"$252,900",4.0,"1,932",41.59851001184364,-109.21228997838324
"$210,000",4.0,"1,676",41.624690006312306,-109.22593999152349
"$209,000",3.0,"1,344",41.59792998414389,-109.24415001144826
"$199,900",3.0,"1,920",41.57187001852873,-109.2175300089724
"$196,900",3.0,"1,664",41.007990013346074,-109.42590998924612
"$1,700,000",,"2,560",30.14229581032537,-99.84342090760828
"$1,100,000",,"2,000",30.0157939081457,-100.21327925850977
"$1,080,000",,,30.075443800000073,-100.01943529999994
"$908,350",,"2,560",30.14229581032537,-99.84342090760828
"$905,000",,,30.015761559191247,-100.21109850862823
"$695,000",,"1,398",30.081140444819006,-99.92730072428152
"$605,000",,"1,738",30.0157939081457,-100.21327925850977
"$559,805",,"1,080",30.13838054326652,-99.8483894014465
"$504,000",,,30.075443800000073,-100.01943529999994
"$410,000",,,29.94084915078833,-100.32240215898436
"$299,900",3.0,"2,318",34.09184700999961,-112.1203430053407
"$167,500",3.0,"2,120",34.08848398089803,-112.11814401304262
"$150,000",,,34.06368289995418,-112.15248836328949
"$129,500",3.0,"1,220",34.06453801508273,-112.13547099946787
"$129,000",4.0,"2,000",34.07928098648753,-112.12684702692873
"$80,000",5.0,"2,260",34.06741698927591,-112.15430999740693
"$77,900",3.0,"1,248",34.08245299201573,-112.13228000892899
"$70,500",3.0,"1,404",34.07016298457522,-112.14430602832898
"$70,000",,,34.05515900070553,-112.15661896027467
"$67,500",,,34.06595431124868,-112.14998147606288
"$54,900",,,34.0771510191621,-112.12991698278576
"$45,600",3.0,"1,056",34.08096298299775,-112.133356999668
"$40,000",2.0,784,34.06473283946759,-112.13847589136512
"$30,000",,,34.077956017143066,-112.14637803479395
"$29,000",,,34.090353975316305,-112.15260526435112
"$28,995",,,34.07331001203195,-112.14485495916794
"$15,000",,,34.07600701510721,-112.12290401203693
